Date,Energy Source,Renewable Generation
2020-04-02,Geothermal,16.05
2020-04-02,Hydro,104.679
2020-04-02,Photovoltaic,90.422
2020-04-02,Wind,22.591
2020-04-03,Biomass,48.115
2020-04-03,Geothermal,15.930000000000001
2020-04-03,Hydro,109.246
2020-04-03,Photovoltaic,85.298
2020-04-03,Wind,30.428
2020-04-04,Biomass,49.684
2020-04-04,Geothermal,16.03
2020-04-04,Hydro,87.826
2020-04-04,Photovoltaic,99.522
2020-04-04,Wind,93.664
2020-04-05,Biomass,45.579
2020-04-05,Geothermal,15.97
2020-04-05,Hydro,85.445
2020-04-05,Photovoltaic,94.675
2020-04-05,Wind,73.949
2020-04-06,Biomass,48.572
2020-04-06,Geothermal,15.99
2020-04-06,Hydro,95.957
2020-04-06,Photovoltaic,93.28399999999999
2020-04-06,Wind,32.001
2020-04-07,Biomass,49.633
2020-04-07,Geothermal,15.870000000000001
2020-04-07,Hydro,115.932
2020-04-07,Photovoltaic,99.41799999999999
2020-04-07,Wind,30.612000000000002
2020-04-08,Biomass,48.774
2020-04-08,Geothermal,16.01
2020-04-08,Hydro,97.08500000000001
2020-04-08,Photovoltaic,103.621
2020-04-08,Wind,20.699
2020-04-09,Biomass,47.636
2020-04-09,Geothermal,15.91
2020-04-09,Hydro,105.395
2020-04-09,Photovoltaic,105.308
2020-04-09,Wind,12.328
2020-04-10,Biomass,49.61
2020-04-10,Geothermal,15.940000000000001
2020-04-10,Hydro,115.437
2020-04-10,Photovoltaic,105.128
2020-04-10,Wind,22.546
2020-04-11,Biomass,52.401
2020-04-11,Geothermal,15.97
2020-04-11,Hydro,119.392
2020-04-11,Photovoltaic,103.625
2020-04-11,Wind,15.87
2020-04-12,Biomass,48.099
2020-04-12,Geothermal,15.98
2020-04-12,Hydro,111.114
2020-04-12,Photovoltaic,101.09
2020-04-12,Wind,7.535
2020-04-13,Biomass,45.288
2020-04-13,Geothermal,15.930000000000001
2020-04-13,Hydro,103.744
2020-04-13,Photovoltaic,82.646
2020-04-13,Wind,43.347
2020-04-14,Biomass,51.826
2020-04-14,Geothermal,15.870000000000001
2020-04-14,Hydro,119.904
2020-04-14,Photovoltaic,65.667
2020-04-14,Wind,67.902
2020-04-15,Biomass,46.97
2020-04-15,Geothermal,15.67
2020-04-15,Hydro,130.783
2020-04-15,Photovoltaic,101.187
2020-04-15,Wind,78.531
2020-04-16,Biomass,52.805
2020-04-16,Geothermal,15.940000000000001
2020-04-16,Hydro,125.15899999999999
2020-04-16,Photovoltaic,95.039
2020-04-16,Wind,22.2
2020-04-17,Biomass,51.258
2020-04-17,Geothermal,15.91
2020-04-17,Hydro,147.875
2020-04-17,Photovoltaic,95.238
2020-04-17,Wind,12.9
2020-04-18,Biomass,50.78
2020-04-18,Geothermal,15.68
2020-04-18,Hydro,143.528
2020-04-18,Photovoltaic,84.771
2020-04-18,Wind,11.212
2020-04-19,Biomass,50.55
2020-04-19,Geothermal,15.81
2020-04-19,Hydro,123.055
2020-04-19,Photovoltaic,73.85
2020-04-19,Wind,21.073
2020-04-20,Biomass,58.741
2020-04-20,Geothermal,15.82
2020-04-20,Hydro,167.074
2020-04-20,Photovoltaic,21.321
2020-04-20,Wind,56.378
2020-04-21,Biomass,56.797
2020-04-21,Geothermal,15.8
2020-04-21,Hydro,157.039
2020-04-21,Photovoltaic,33.839
2020-04-21,Wind,55.743
2020-04-22,Biomass,53.278
2020-04-22,Geothermal,15.98
2020-04-22,Hydro,158.58599999999998
2020-04-22,Photovoltaic,59.042
2020-04-22,Wind,44.308
2020-04-23,Biomass,51.572
2020-04-23,Geothermal,15.940000000000001
2020-04-23,Hydro,158.746
2020-04-23,Photovoltaic,86.267
2020-04-23,Wind,38.35
2020-04-24,Biomass,51.743
2020-04-24,Geothermal,15.920000000000002
2020-04-24,Hydro,168.882
2020-04-24,Photovoltaic,104.09
2020-04-24,Wind,14.542
2020-04-25,Biomass,48.694
2020-04-25,Geothermal,15.9
2020-04-25,Hydro,141.335
2020-04-25,Photovoltaic,105.289
2020-04-25,Wind,46.702999999999996
2020-04-26,Biomass,51.268
2020-04-26,Geothermal,15.88
2020-04-26,Hydro,139.18
2020-04-26,Photovoltaic,93.17399999999999
2020-04-26,Wind,18.999
2020-04-27,Biomass,56.984
2020-04-27,Geothermal,15.83
2020-04-27,Hydro,156.759
2020-04-27,Photovoltaic,93.107
2020-04-27,Wind,26.561
2020-04-28,Biomass,53.104
2020-04-28,Geothermal,15.690000000000001
2020-04-28,Hydro,160.06900000000002
2020-04-28,Photovoltaic,59.25
2020-04-28,Wind,72.27
2020-04-29,Biomass,51.571
2020-04-29,Geothermal,15.84
2020-04-29,Hydro,156.163
2020-04-29,Photovoltaic,86.83200000000001
2020-04-29,Wind,106.508
2020-04-30,Biomass,48.835
2020-04-30,Geothermal,15.81
2020-04-30,Hydro,185.10399999999998
2020-04-30,Photovoltaic,87.268
2020-04-30,Wind,76.331
2020-05-01,Biomass,42.199
2020-05-01,Geothermal,15.84
2020-05-01,Hydro,147.265
2020-05-01,Photovoltaic,79.04599999999999
2020-05-01,Wind,79.103
2020-05-02,Biomass,43.104
2020-05-02,Geothermal,15.84
2020-05-02,Hydro,145.846
2020-05-02,Photovoltaic,94.834
2020-05-02,Wind,79.098
2020-05-03,Biomass,44.265
2020-05-03,Geothermal,15.770000000000001
2020-05-03,Hydro,133.176
2020-05-03,Photovoltaic,105.519
2020-05-03,Wind,62.73
2020-05-04,Biomass,52.953
2020-05-04,Geothermal,15.74
2020-05-04,Hydro,159.538
2020-05-04,Photovoltaic,113.565
2020-05-04,Wind,48.989000000000004
2020-05-05,Biomass,52.388
2020-05-05,Geothermal,15.42
2020-05-05,Hydro,140.635
2020-05-05,Photovoltaic,94.315
2020-05-05,Wind,58.858000000000004
2020-05-06,Biomass,53.736
2020-05-06,Geothermal,15.24
2020-05-06,Hydro,138.083
2020-05-06,Photovoltaic,83.338
2020-05-06,Wind,62.861000000000004
2020-05-07,Biomass,52.892
2020-05-07,Geothermal,15.26
2020-05-07,Hydro,142.424
2020-05-07,Photovoltaic,112.69500000000001
2020-05-07,Wind,75.772
2020-05-08,Biomass,56.683
2020-05-08,Geothermal,15.34
2020-05-08,Hydro,154.593
2020-05-08,Photovoltaic,107.422
2020-05-08,Wind,19.952
2020-05-09,Biomass,48.817
2020-05-09,Geothermal,15.51
2020-05-09,Hydro,155.448
2020-05-09,Photovoltaic,108.498
2020-05-09,Wind,27.044
2020-05-10,Biomass,47.083
2020-05-10,Geothermal,15.5
2020-05-10,Hydro,145.93
2020-05-10,Photovoltaic,81.851
2020-05-10,Wind,36.203
2020-05-11,Biomass,48.382
2020-05-11,Geothermal,15.49
2020-05-11,Hydro,166.048
2020-05-11,Photovoltaic,73.105
2020-05-11,Wind,80.126
2020-05-12,Biomass,50.446
2020-05-12,Geothermal,15.49
2020-05-12,Hydro,178.35399999999998
2020-05-12,Photovoltaic,88.606
2020-05-12,Wind,80.38
2020-05-13,Biomass,57.527
2020-05-13,Geothermal,15.27
2020-05-13,Hydro,187.989
2020-05-13,Photovoltaic,59.753
2020-05-13,Wind,81.927
2020-05-14,Biomass,50.206
2020-05-14,Geothermal,15.04
2020-05-14,Hydro,177.75
2020-05-14,Photovoltaic,78.134
2020-05-14,Wind,91.336
2020-05-15,Biomass,51.815
2020-05-15,Geothermal,15.57
2020-05-15,Hydro,180.479
2020-05-15,Photovoltaic,70.481
2020-05-15,Wind,80.82300000000001
2020-05-16,Biomass,48.794
2020-05-16,Geothermal,15.700000000000001
2020-05-16,Hydro,192.748
2020-05-16,Photovoltaic,60.150999999999996
2020-05-16,Wind,56.619
2020-05-17,Biomass,42.125
2020-05-17,Geothermal,15.52
2020-05-17,Hydro,179.797
2020-05-17,Photovoltaic,86.988
2020-05-17,Wind,29.887999999999998
2020-05-18,Biomass,52.984
2020-05-18,Geothermal,15.600000000000001
2020-05-18,Hydro,195.495
2020-05-18,Photovoltaic,64.375
2020-05-18,Wind,50.943
2020-05-19,Biomass,58.051
2020-05-19,Geothermal,15.55
2020-05-19,Hydro,203.89600000000002
2020-05-19,Photovoltaic,63.436
2020-05-19,Wind,32.6
2020-05-20,Biomass,54.133
2020-05-20,Geothermal,15.5
2020-05-20,Hydro,205.992
2020-05-20,Photovoltaic,67.26
2020-05-20,Wind,53.953
2020-05-21,Biomass,44.543
2020-05-21,Geothermal,15.48
2020-05-21,Hydro,201.938
2020-05-21,Photovoltaic,101.358
2020-05-21,Wind,106.968
2020-05-22,Biomass,42.166000000000004
2020-05-22,Geothermal,15.540000000000001
2020-05-22,Hydro,208.054
2020-05-22,Photovoltaic,102.896
2020-05-22,Wind,63.44
2020-05-23,Biomass,41.293
2020-05-23,Geothermal,15.540000000000001
2020-05-23,Hydro,197.44
2020-05-23,Photovoltaic,103.145
2020-05-23,Wind,30.509
2020-05-24,Biomass,39.147
2020-05-24,Geothermal,15.49
2020-05-24,Hydro,179.519
2020-05-24,Photovoltaic,106.347
2020-05-24,Wind,31.262999999999998
2020-05-25,Biomass,50.249
2020-05-25,Geothermal,14.87
2020-05-25,Hydro,200.315
2020-05-25,Photovoltaic,108.541
2020-05-25,Wind,51.22
2020-05-26,Biomass,54.348
2020-05-26,Geothermal,15.66
2020-05-26,Hydro,212.065
2020-05-26,Photovoltaic,103.786
2020-05-26,Wind,75.178
2020-05-27,Biomass,52.361000000000004
2020-05-27,Geothermal,15.49
2020-05-27,Hydro,205.188
2020-05-27,Photovoltaic,108.717
2020-05-27,Wind,89.761
2020-05-28,Biomass,52.381
2020-05-28,Geothermal,15.35
2020-05-28,Hydro,205.808
2020-05-28,Photovoltaic,97.367
2020-05-28,Wind,60.723
2020-05-29,Biomass,52.325
2020-05-29,Geothermal,15.440000000000001
2020-05-29,Hydro,193.74
2020-05-29,Photovoltaic,77.10000000000001
2020-05-29,Wind,24.144000000000002
2020-05-30,Biomass,54.316
2020-05-30,Geothermal,14.99
2020-05-30,Hydro,170.988
2020-05-30,Photovoltaic,75.837
2020-05-30,Wind,13.964
2020-05-31,Biomass,49.462
2020-05-31,Geothermal,15.17
2020-05-31,Hydro,156.74099999999999
2020-05-31,Photovoltaic,91.332
2020-05-31,Wind,18.974
2020-06-01,Biomass,43.187
2020-06-01,Geothermal,14.91
2020-06-01,Hydro,156.093
2020-06-01,Photovoltaic,104.364
2020-06-01,Wind,47.165
2020-06-02,Biomass,40.196
2020-06-02,Geothermal,14.84
2020-06-02,Hydro,157.66299999999998
2020-06-02,Photovoltaic,100.181
2020-06-02,Wind,36.052
2020-06-03,Biomass,47.221000000000004
2020-06-03,Geothermal,14.91
2020-06-03,Hydro,171.669
2020-06-03,Photovoltaic,101.15899999999999
2020-06-03,Wind,31.610999999999997
2020-06-04,Biomass,46.138
2020-06-04,Geothermal,13.98
2020-06-04,Hydro,185.119
2020-06-04,Photovoltaic,58.251
2020-06-04,Wind,94.482
2020-06-05,Biomass,42.16
2020-06-05,Geothermal,13.899999999999999
2020-06-05,Hydro,186.417
2020-06-05,Photovoltaic,74.475
2020-06-05,Wind,100.189
2020-06-06,Biomass,39.051
2020-06-06,Geothermal,14.9
2020-06-06,Hydro,170.804
2020-06-06,Photovoltaic,99.379
2020-06-06,Wind,61.39
2020-06-07,Biomass,37.192
2020-06-07,Geothermal,14.96
2020-06-07,Hydro,178.697
2020-06-07,Photovoltaic,81.174
2020-06-07,Wind,57.317
2020-06-08,Biomass,50.559
2020-06-08,Geothermal,14.76
2020-06-08,Hydro,211.573
2020-06-08,Photovoltaic,62.675000000000004
2020-06-08,Wind,62.092
2020-06-09,Biomass,52.135
2020-06-09,Geothermal,14.8
2020-06-09,Hydro,217.014
2020-06-09,Photovoltaic,86.017
2020-06-09,Wind,54.425
2020-06-10,Biomass,54.188
2020-06-10,Geothermal,14.48
2020-06-10,Hydro,217.6
2020-06-10,Photovoltaic,81.525
2020-06-10,Wind,83.547
2020-06-11,Biomass,48.829
2020-06-11,Geothermal,15.0
2020-06-11,Hydro,197.612
